Crossover Chance,Mutation Chance,Num Elite,K Members,N Crossover Points,Avg Max Fitness,Avg Top 10 Fitness,Avg Overall Fitness
0.09828444598395876,0.350391480921241,75,9,2,52.86294250603578,48.060978994056725,26.861951140473874
0.09284974586331175,0.24615288953766418,37,10,2,25.506184910457517,20.00291802104185,10.253476455441826
0.15485414452848406,0.018193627919849825,48,11,1,28.79393412079145,26.086047187072836,19.685709944626307
0.28731141959312906,0.04788720504496837,61,1,2,43.4587588332535,39.69687381349726,28.994136246673406
0.17079622456815888,0.9269065132162273,1,18,1,47.8747030198709,40.55577904668295,17.17911082467542
0.8268422134396236,0.2866139044125526,42,12,4,49.86868056061637,46.35104853994646,30.147482184631098
0.3086484699401335,0.7517858565382941,75,9,2,41.47997501156475,37.530002970649676,17.512076589557697
0.39293146444157945,0.09672692667963685,21,14,2,44.37763882348658,39.00903085336748,28.846265011329105
0.9316348401057349,0.7519965640495414,64,18,4,41.82714056615704,36.33038197612366,20.110190525930793
0.27023659632667163,0.4256211476985063,47,12,4,36.87072617684616,34.18999198665142,19.986595706074116
0.8513566715234605,0.2609107127512917,6,13,3,37.34393731484309,35.34960298617728,21.371387642550953
0.07480159386532516,0.6166375708664151,27,6,1,42.52707302269814,39.37589532979707,19.066205002707367
0.3527127547578077,0.33489823623508386,2,12,4,41.09580541071718,39.02884953562459,25.816345534509455
0.40086890428699923,0.3253557512844133,24,12,3,44.92955004122287,41.18930654149071,25.316685277058056
0.4920607346597098,0.3057353541411383,6,15,1,42.30396350378293,37.097162052534074,20.43793087328762
0.510419428549791,0.48606244485487077,47,19,2,42.220340959688976,38.142306270436634,23.31887833608278
0.6126930467013525,0.23170131256727292,77,3,4,33.484682526865,28.45065664278806,14.392999079157908
0.42437715635195616,0.37527922778221345,49,10,2,47.5803895009179,37.475843682523546,18.901393293243057
0.8221256707318628,0.6478793587327706,51,9,2,41.75729755788947,38.60314178489878,24.798846813302266
0.8391179303186809,0.5741320836197212,5,13,4,41.455522183301866,36.97349440229719,20.39418232138783
0.08439949561868225,0.0984772051351829,78,2,2,26.683477716918148,25.17812531090322,18.918851601996593
0.35670227155839784,0.6247140629386375,12,4,2,49.04610094911863,45.096174551560125,23.65672072368345
0.45082759347458673,0.38223966197564746,55,19,1,41.427882559175615,33.6471699272554,17.71330318236231
0.3488502398418273,0.6648247099139937,47,13,1,45.50502437840201,42.40278543258588,26.219157414402503
0.8843421010661258,0.4565010277909587,4,18,2,46.81452102843289,40.900804403586605,21.375742948434212
0.7930945954134295,0.23963058593910597,32,18,3,42.33521801079526,39.09101396265858,25.882850381609824
0.6510100254339245,0.33823658138921503,39,3,1,27.53231626532328,25.872883523636297,15.305834083214496
0.45893282207748654,0.7437510197434519,36,14,4,43.61290373734788,38.236372628959884,20.351954582459104
0.1308962971934606,0.8018783024490566,57,5,2,39.525755111567975,35.43447222447258,19.097453559451193
0.12013049047106507,0.6296735477283312,28,9,3,46.49258368984355,38.25837328846687,17.281672181473084
0.4217169973347617,0.40807496803970733,53,12,3,44.69901475841371,38.76677530134775,23.128668747945486
0.10614286978010333,0.5226843200876389,55,3,2,32.59739013589357,28.91245923285078,17.47461115247298
